time,e_yy,stress_yy
0,0,0
0.05,4.7620310216997e-05,7.0179417347705
0.075,7.143141224903e-05,10.527456737264
0.1,9.524314554129e-05,14.037334523455
0.1125,0.00010714924890482,15.792409465254
0.1375,0.0001309619290563,19.302831468914
0.1625,0.00015477524042653,22.813616305581
0.1875,0.00017858918299893,26.324763958532
0.2125,0.00020240375675697,29.836274350634
0.2375,0.00022621896168423,33.348147198665
0.25,0.00023812680083129,35.104219241323
0.275,0.00026194295248233,38.616634229266
0.3,0.00028575973526402,42.12940722982
0.325,0.00030957714916353,45.64253316778
0.35,0.00033339519417204,49.156002246836
0.375,0.00035721387028804,52.669796770304
0.4,0.00038103317752298,56.183886083451
0.425,0.00040485311591021,59.698218868075
0.45,0.00042867368551916,63.212711911109
0.475,0.00045249488647664,66.727234076807
0.5,0.00047631671899865,70.24158391932
0.525,0.00050013918343597,73.755458911931
0.55,0.00052396228033851,77.268414414599
0.575,0.00054778601054343,80.779809902068
0.6,0.00057161037529308,84.288740439034
0.625,0.00059543537638798,87.793951578595
0.65,0.00061926101637964,91.29373707066
0.675,0.0006430872988054,94.785820456551
0.7,0.00066691422846446,98.267224363845
0.725,0.00069074181172925,101.73413476832
0.75,0.00071457005688027,105.18177180535
0.775,0.00073839897444559,108.60428304868
0.8,0.00076222857751787,111.99467879197
0.825,0.00078605888201585,115.34483011014
0.85,0.00080988990685322,118.64554826396
0.875,0.00083372167398021,121.88675721719
0.9,0.00085755420827249,125.05776018446
0.925,0.00088138753725647,128.147588391
0.95,0.00090522169067897,131.14540781526
0.975,0.00092905669994621,134.04095062871
1,0.00095289259747014,136.82493368451
1.025,0.00097672941596732,139.48942762636
1.05,0.0010005671877548,142.02814623604
1.075,0.0010244059440846,144.43663513745
1.1,0.0010482457145499,146.71235094722
1.125,0.0010720865265892,148.85463386593
1.15,0.0010959284051035,150.86458682027
1.175,0.0011197713721966,152.74488175586
1.2,0.0011436154470375,154.49951712723
1.225,0.0011674606458399,156.13355110567
1.25,0.0011913069819452,157.65283212697
1.275,0.0012151544659913,159.06374425479
